plant,stockyard,product,mode,qty_kt
Plant-1,Delhi,Flat,Rail,89.4
Plant-1,Delhi,Long,Rail,72.9
Plant-1,Kolkata,Flat,Sea,70.7
Plant-1,Kolkata,Long,Sea,54.8
Plant-1,Ahmedabad,Flat,Rail,63.6
Plant-1,Ahmedabad,Long,Rail,55.5
Plant-1,Jaipur,Flat,Rail,44.6
Plant-1,Jaipur,Long,Rail,33.8
Plant-1,Lucknow,Flat,Rail,120.2
Plant-1,Lucknow,Long,Rail,62.8
Plant-1,Patna,Flat,Rail,47.9
Plant-1,Patna,Long,Rail,33.6
Plant-1,Bhopal,Flat,Rail,114.5
Plant-1,Bhopal,Long,Rail,87.6
Plant-1,Chandigarh,Flat,Rail,106.7
Plant-1,Chandigarh,Long,Rail,86.0
Plant-1,Guwahati,Flat,Rail,43.6
Plant-1,Guwahati,Long,Rail,31.5
Plant-2,Mumbai,Flat,Sea,91.4
Plant-2,Mumbai,Long,Sea,70.6
Plant-2,Chennai,Flat,Sea,141.6
Plant-2,Chennai,Long,Sea,107.4
Plant-2,Bangalore,Flat,Rail,79.6
Plant-2,Bangalore,Long,Rail,63.6
Plant-2,Hyderabad,Flat,Rail,57.8
Plant-2,Hyderabad,Long,Rail,45.3
Plant-2,Nagpur,Flat,Rail,24.7
Plant-2,Nagpur,Long,Rail,19.9
Plant-2,Raipur,Flat,Rail,36.3
Plant-2,Raipur,Long,Rail,25.8
Plant-2,Vijayawada,Flat,Rail,26.1
Plant-2,Vijayawada,Long,Rail,22.1
