stockyard,customer,product,qty_kt
Mumbai,Ahmedabad,Flat,30.3
Mumbai,Ahmedabad,Long,26.8
Mumbai,Pune,Flat,51.4
Mumbai,Pune,Long,38.6
Mumbai,Rajkot,Flat,33.3
Mumbai,Rajkot,Long,28.7
Chennai,Bangalore,Flat,79.6
Chennai,Bangalore,Long,63.6
Chennai,Coimbatore,Flat,37.9
Chennai,Coimbatore,Long,33.0
Chennai,Madurai,Flat,65.4
Chennai,Madurai,Long,47.8
Hyderabad,Hyderabad,Flat,57.8
Hyderabad,Hyderabad,Long,45.3
Jaipur,Delhi,Flat,11.4
Jaipur,Delhi,Long,42.2
Jaipur,Jaipur,Flat,44.6
Jaipur,Jaipur,Long,33.8
Lucknow,Delhi,Flat,40.4
Lucknow,Lucknow,Flat,22.2
Lucknow,Lucknow,Long,17.0
Lucknow,Kanpur,Flat,57.6
Lucknow,Kanpur,Long,45.8
Nagpur,Nagpur,Flat,24.7
Nagpur,Nagpur,Long,19.9
Bhopal,Bhopal,Flat,78.6
Bhopal,Bhopal,Long,61.5
Bhopal,Indore,Flat,35.9
Bhopal,Indore,Long,26.1
Chandigarh,Chandigarh,Flat,34.3
Chandigarh,Chandigarh,Long,25.6
Chandigarh,Ludhiana,Flat,23.6
Chandigarh,Ludhiana,Long,22.4
Chandigarh,Dehradun,Flat,37.6
Chandigarh,Dehradun,Long,30.7
Chandigarh,Amritsar,Flat,48.8
Chandigarh,Amritsar,Long,38.0
Guwahati,Guwahati,Flat,43.6
Guwahati,Guwahati,Long,31.5
Vijayawada,Vijayawada,Flat,26.1
Vijayawada,Vijayawada,Long,22.1
